cover_image_name,k,t,value
n01,1,100,1.0
n01,1,370000,0.9931000137428241
n01,2,100,1.0
n01,2,370000,0.9931000137428241
n01,3,100,1.0
n01,3,370000,0.9931000137428241
n01,4,100,1.0
n01,4,370000,0.9931000137428241
n01,5,100,1.0
n01,5,370000,0.9931000137428241
n01,6,100,1.0
n01,6,370000,0.9931000137428241
n01,7,100,1.0
n01,7,370000,0.9931000137428241
n01,8,100,1.0
n01,8,370000,0.9931000137428241
n01,1,16,1.0
n01,1,32,1.0
n01,1,64,1.0
n01,1,128,1.0
n01,1,256,1.0
n01,1,512,1.0
n01,1,1024,0.9970617042115573
n01,1,2048,0.9965703086722195
n01,1,4096,0.9970617042115573
n01,1,8192,0.9968774872956591
n01,1,16384,0.9941369677993677
n01,1,32768,0.9926681934859128
n01,1,65536,0.9914202390021315
n01,1,131072,0.9920756066332671
n01,1,262144,0.9919884026986028
n01,2,16,1.0
n01,2,32,1.0
n01,2,64,1.0
n01,2,128,1.0
n01,2,256,1.0
n01,2,512,1.0
n01,2,1024,0.9970617042115573
n01,2,2048,0.9965703086722195
n01,2,4096,0.9970617042115573
n01,2,8192,0.9968774872956591
n01,2,16384,0.9941369677993677
n01,2,32768,0.9926681934859128
n01,2,65536,0.9914202390021315
n01,2,131072,0.9920756066332671
n01,2,262144,0.9919884026986028
n02,1,100,1.0
n02,1,370000,0.9931000137428241
n02,2,100,1.0
n02,2,370000,0.9931000137428241
n02,3,100,1.0
n02,3,370000,0.9931000137428241
n02,4,100,1.0
n02,4,370000,0.9931000137428241
n02,5,100,1.0
n02,5,370000,0.9931000137428241
n02,6,100,1.0
n02,6,370000,0.9931000137428241
n02,7,100,1.0
n02,7,370000,0.9931000137428241
n02,8,100,1.0
n02,8,370000,0.9931000137428241
n02,1,16,1.0
n02,1,32,1.0
n02,1,64,1.0
n02,1,128,1.0
n02,1,256,1.0
n02,1,512,1.0
n02,1,1024,0.9970617042115573
n02,1,2048,0.9965703086722195
n02,1,4096,0.9970617042115573
n02,1,8192,0.9968774872956591
n02,1,16384,0.9941369677993677
n02,1,32768,0.9926681934859128
n02,1,65536,0.9914202390021315
n02,1,131072,0.9920756066332671
n02,1,262144,0.9919884026986028
n02,2,16,1.0
n02,2,32,1.0
n02,2,64,1.0
n02,2,128,1.0
n02,2,256,1.0
n02,2,512,1.0
n02,2,1024,0.9970617042115573
n02,2,2048,0.9965703086722195
n02,2,4096,0.9970617042115573
n02,2,8192,0.9968774872956591
n02,2,16384,0.9941369677993677
n02,2,32768,0.9926681934859128
n02,2,65536,0.9914202390021315
n02,2,131072,0.9920756066332671
n02,2,262144,0.9919884026986028
t01,1,100,1.0
t01,1,370000,0.9931000137428241
t01,2,100,1.0
t01,2,370000,0.9931000137428241
t01,3,100,1.0
t01,3,370000,0.9931000137428241
t01,4,100,1.0
t01,4,370000,0.9931000137428241
t01,5,100,1.0
t01,5,370000,0.9931000137428241
t01,6,100,1.0
t01,6,370000,0.9931000137428241
t01,7,100,1.0
t01,7,370000,0.9931000137428241
t01,8,100,1.0
t01,8,370000,0.9931000137428241
t01,1,16,1.0
t01,1,32,1.0
t01,1,64,1.0
t01,1,128,1.0
t01,1,256,1.0
t01,1,512,1.0
t01,1,1024,0.9970617042115573
t01,1,2048,0.9965703086722195
t01,1,4096,0.9970617042115573
t01,1,8192,0.9968774872956591
t01,1,16384,0.9941369677993677
t01,1,32768,0.9926681934859128
t01,1,65536,0.9914202390021315
t01,1,131072,0.9920756066332671
t01,1,262144,0.9919884026986028
t01,2,16,1.0
t01,2,32,1.0
t01,2,64,1.0
t01,2,128,1.0
t01,2,256,1.0
t01,2,512,1.0
t01,2,1024,0.9970617042115573
t01,2,2048,0.9965703086722195
t01,2,4096,0.9970617042115573
t01,2,8192,0.9968774872956591
t01,2,16384,0.9941369677993677
t01,2,32768,0.9926681934859128
t01,2,65536,0.9914202390021315
t01,2,131072,0.9920756066332671
t01,2,262144,0.9919884026986028
t02,1,100,1.0
t02,1,370000,0.9931000137428241
t02,2,100,1.0
t02,2,370000,0.9931000137428241
t02,3,100,1.0
t02,3,370000,0.9931000137428241
t02,4,100,1.0
t02,4,370000,0.9931000137428241
t02,5,100,1.0
