cover_image_name,k,t,metric,value
n01,1,100,mse,0.0001571
n01,1,100,psnr,86.17
n01,1,370000,mse,0.5301
n01,1,370000,psnr,50.89
n01,2,100,mse,0.0004312
n01,2,100,psnr,81.78
n01,2,370000,mse,1.377
n01,2,370000,psnr,46.74
n01,3,100,mse,0.00129
n01,3,100,psnr,77.02
n01,3,370000,mse,4.147
n01,3,370000,psnr,41.95
n01,4,100,mse,0.004349
n01,4,100,psnr,71.75
n01,4,370000,mse,13.86
n01,4,370000,psnr,36.71
n01,5,100,mse,0.01788
n01,5,100,psnr,65.61
n01,5,370000,mse,43.88
n01,5,370000,psnr,31.71
n01,6,100,mse,0.04573
n01,6,100,psnr,61.53
n01,6,370000,mse,151.3
n01,6,370000,psnr,26.33
n01,7,100,mse,0.1927
n01,7,100,psnr,55.28
n01,7,370000,mse,522.3
n01,7,370000,psnr,20.95
n01,8,100,mse,0.4638
n01,8,100,psnr,51.47
n01,8,370000,mse,1766.0
n01,8,370000,psnr,15.66
n01,1,16,mse,3.075e-05
n01,1,16,psnr,93.25
n01,1,32,mse,5.522e-05
n01,1,32,psnr,90.71
n01,1,64,mse,0.0001052
n01,1,64,psnr,87.91
n01,1,128,mse,0.0002001
n01,1,128,psnr,85.12
n01,1,256,mse,0.0003773
n01,1,256,psnr,82.36
n01,1,512,mse,0.0007321
n01,1,512,psnr,79.48
n01,1,1024,mse,0.001479
n01,1,1024,psnr,76.43
n01,1,2048,mse,0.002962
n01,1,2048,psnr,73.41
n01,1,4096,mse,0.005893
n01,1,4096,psnr,70.43
n01,1,8192,mse,0.01181
n01,1,8192,psnr,67.41
n01,1,16384,mse,0.0236
n01,1,16384,psnr,64.4
n01,1,32768,mse,0.04738
n01,1,32768,psnr,61.38
n01,1,65536,mse,0.09446
n01,1,65536,psnr,58.38
n01,1,131072,mse,0.1883
n01,1,131072,psnr,55.38
n01,1,262144,mse,0.376
n01,1,262144,psnr,52.38
n01,2,16,mse,0.0001197
n01,2,16,psnr,87.35
n01,2,32,mse,0.0001729
n01,2,32,psnr,85.75
n01,2,64,mse,0.0002943
n01,2,64,psnr,83.44
n01,2,128,mse,0.0005258
n01,2,128,psnr,80.92
n01,2,256,mse,0.0009841
n01,2,256,psnr,78.2
n01,2,512,mse,0.001899
n01,2,512,psnr,75.34
n01,2,1024,mse,0.003735
n01,2,1024,psnr,72.41
n01,2,2048,mse,0.007661
n01,2,2048,psnr,69.29
n01,2,4096,mse,0.01529
n01,2,4096,psnr,66.29
n01,2,8192,mse,0.03059
n01,2,8192,psnr,63.28
n01,2,16384,mse,0.06116
n01,2,16384,psnr,60.27
n01,2,32768,mse,0.1225
n01,2,32768,psnr,57.25
n01,2,65536,mse,0.2449
n01,2,65536,psnr,54.24
n01,2,131072,mse,0.4895
n01,2,131072,psnr,51.23
n01,2,262144,mse,0.9765
n01,2,262144,psnr,48.23
n02,1,100,mse,0.000165
n02,1,100,psnr,85.96
n02,1,370000,mse,0.5336
n02,1,370000,psnr,50.86
n02,2,100,mse,0.0003657
n02,2,100,psnr,82.5
n02,2,370000,mse,1.364
n02,2,370000,psnr,46.78
n02,3,100,mse,0.001051
n02,3,100,psnr,77.92
n02,3,370000,mse,3.918
n02,3,370000,psnr,42.2
n02,4,100,mse,0.003552
n02,4,100,psnr,72.63
n02,4,370000,mse,14.56
n02,4,370000,psnr,36.5
n02,5,100,mse,0.01435
n02,5,100,psnr,66.56
n02,5,370000,mse,51.6
n02,5,370000,psnr,31.0
n02,6,100,mse,0.04391
n02,6,100,psnr,61.71
n02,6,370000,mse,164.0
n02,6,370000,psnr,25.98
n02,7,100,mse,0.186
n02,7,100,psnr,55.44
n02,7,370000,mse,510.3
n02,7,370000,psnr,21.05
n02,8,100,mse,0.4831
n02,8,100,psnr,51.29
n02,8,370000,mse,1788.0
n02,8,370000,psnr,15.61
n02,1,16,mse,2.943e-05
n02,1,16,psnr,93.44
n02,1,32,mse,5.556e-05
n02,1,32,psnr,90.68
n02,1,64,mse,0.0001085
n02,1,64,psnr,87.78
n02,1,128,mse,0.000205
n02,1,128,psnr,85.01
n02,1,256,mse,0.0003942
n02,1,256,psnr,82.17
n02,1,512,mse,0.0007646
n02,1,512,psnr,79.3
n02,1,1024,mse,0.001514
n02,1,1024,psnr,76.33
n02,1,2048,mse,0.002919
n02,1,2048,psnr,73.48
n02,1,4096,mse,0.005908
n02,1,4096,psnr,70.42
n02,1,8192,mse,0.01193
n02,1,8192,psnr,67.36
n02,1,16384,mse,0.02402
n02,1,16384,psnr,64.33
n02,1,32768,mse,0.04794
n02,1,32768,psnr,61.32
n02,1,65536,mse,0.09526
n02,1,65536,psnr,58.34
n02,1,131072,mse,0.1897
n02,1,131072,psnr,55.35
n02,1,262144,mse,0.3783
n02,1,262144,psnr,52.35
n02,2,16,mse,7.837e-05
n02,2,16,psnr,89.19
n02,2,32,mse,0.0001362
n02,2,32,psnr,86.79
n02,2,64,mse,0.0002454
n02,2,64,psnr,84.23
n02,2,128,mse,0.0004726
n02,2,128,psnr,81.39
n02,2,256,mse,0.0009587
n02,2,256,psnr,78.31
n02,2,512,mse,0.001805
n02,2,512,psnr,75.57
n02,2,1024,mse,0.003653
n02,2,1024,psnr,72.5
n02,2,2048,mse,0.007492
n02,2,2048,psnr,69.38
n02,2,4096,mse,0.01479
n02,2,4096,psnr,66.43
n02,2,8192,mse,0.02967
n02,2,8192,psnr,63.41
n02,2,16384,mse,0.05872
n02,2,16384,psnr,60.44
n02,2,32768,mse,0.1187
n02,2,32768,psnr,57.39
n02,2,65536,mse,0.238
n02,2,65536,psnr,54.36
n02,2,131072,mse,0.4768
n02,2,131072,psnr,51.35
n02,2,262144,mse,0.9629
n02,2,262144,psnr,48.3
