cover_image_name,k,t,command,type,value
n01,1,100,write,processing,25
n01,1,100,write,total,22279
n01,1,100,read,processing,15
n01,1,100,read,total,2092
n01,1,100,write,processing,25
n01,1,100,write,total,22569
n01,1,100,read,processing,15
n01,1,100,read,total,2375
n01,1,100,write,processing,24
n01,1,100,write,total,22589
n01,1,100,read,processing,15
n01,1,100,read,total,2083
n01,1,100,write,processing,25
n01,1,100,write,total,22385
n01,1,100,read,processing,15
n01,1,100,read,total,2121
n01,1,100,write,processing,39
n01,1,100,write,total,26642
n01,1,100,read,processing,15
n01,1,100,read,total,2128
n01,1,100,write,processing,25
n01,1,100,write,total,28472
n01,1,100,read,processing,15
n01,1,100,read,total,2136
n01,1,100,write,processing,25
n01,1,100,write,total,28502
n01,1,100,read,processing,15
n01,1,100,read,total,2146
n01,1,100,write,processing,25
n01,1,100,write,total,28708
n01,1,100,read,processing,15
n01,1,100,read,total,2122
n01,1,100,write,processing,24
n01,1,100,write,total,25843
n01,1,100,read,processing,20
n01,1,100,read,total,2116
n01,1,100,write,processing,24
n01,1,100,write,total,21387
n01,1,100,read,processing,15
n01,1,100,read,total,2194
n01,1,370000,write,processing,73364
n01,1,370000,write,total,97021
n01,1,370000,read,processing,50007
n01,1,370000,read,total,52157
n01,1,370000,write,processing,73293
n01,1,370000,write,total,96650
n01,1,370000,read,processing,49411
n01,1,370000,read,total,51564
n01,1,370000,write,processing,73929
n01,1,370000,write,total,97839
n01,1,370000,read,processing,50509
n01,1,370000,read,total,52729
n01,1,370000,write,processing,73782
n01,1,370000,write,total,103218
n01,1,370000,read,processing,49792
n01,1,370000,read,total,52001
n01,1,370000,write,processing,73732
n01,1,370000,write,total,103695
n01,1,370000,read,processing,50166
n01,1,370000,read,total,52309
n01,1,370000,write,processing,73559
n01,1,370000,write,total,103821
n01,1,370000,read,processing,50156
n01,1,370000,read,total,52286
n01,1,370000,write,processing,73410
n01,1,370000,write,total,97061
n01,1,370000,read,processing,50785
n01,1,370000,read,total,52891
n01,1,370000,write,processing,73922
n01,1,370000,write,total,103742
n01,1,370000,read,processing,51015
n01,1,370000,read,total,53190
n01,1,370000,write,processing,73585
n01,1,370000,write,total,103473
n01,1,370000,read,processing,50890
n01,1,370000,read,total,53072
n01,1,370000,write,processing,73901
n01,1,370000,write,total,96479
n01,1,370000,read,processing,50157
n01,1,370000,read,total,52366
n01,2,100,write,processing,22
n01,2,100,write,total,28515
n01,2,100,read,processing,12
n01,2,100,read,total,2105
n01,2,100,write,processing,23
n01,2,100,write,total,23802
n01,2,100,read,processing,12
n01,2,100,read,total,2124
n01,2,100,write,processing,23
n01,2,100,write,total,30896
n01,2,100,read,processing,12
n01,2,100,read,total,2224
n01,2,100,write,processing,23
n01,2,100,write,total,23398
n01,2,100,read,processing,12
n01,2,100,read,total,2237
n01,2,100,write,processing,23
n01,2,100,write,total,24786
n01,2,100,read,processing,12
n01,2,100,read,total,2253
n01,2,100,write,processing,22
n01,2,100,write,total,21502
n01,2,100,read,processing,12
n01,2,100,read,total,2100
n01,2,100,write,processing,22
n01,2,100,write,total,22194
n01,2,100,read,processing,12
n01,2,100,read,total,2088
n01,2,100,write,processing,22
n01,2,100,write,total,22705
n01,2,100,read,processing,12
n01,2,100,read,total,2095
n01,2,100,write,processing,23
n01,2,100,write,total,25199
n01,2,100,read,processing,12
n01,2,100,read,total,2140
n01,2,100,write,processing,37
n01,2,100,write,total,24577
n01,2,100,read,processing,12
n01,2,100,read,total,2084
n01,2,370000,write,processing,65042
n01,2,370000,write,total,89108
n01,2,370000,read,processing,40565
n01,2,370000,read,total,42659
n01,2,370000,write,processing,65413
n01,2,370000,write,total,88931
n01,2,370000,read,processing,39304
n01,2,370000,read,total,41468
n01,2,370000,write,processing,65168
n01,2,370000,write,total,88617
n01,2,370000,read,processing,40437
n01,2,370000,read,total,42625
n01,2,370000,write,processing,65204
n01,2,370000,write,total,91976
n01,2,370000,read,processing,40594
n01,2,370000,read,total,42723
n01,2,370000,write,processing,64736
n01,2,370000,write,total,88080
n01,2,370000,read,processing,39755
n01,2,370000,read,total,41897
n01,2,370000,write,processing,64931
n01,2,370000,write,total,88548
n01,2,370000,read,processing,39039
n01,2,370000,read,total,41215
n01,2,370000,write,processing,65008
n01,2,370000,write,total,88887
n01,2,370000,read,processing,40505
n01,2,370000,read,total,42661
n01,2,370000,write,processing,65272
n01,2,370000,write,total,88492
n01,2,370000,read,processing,39550
n01,2,370000,read,total,41677
n01,2,370000,write,processing,64937
n01,2,370000,write,total,88931
n01,2,370000,read,processing,40106
n01,2,370000,read,total,42275
n01,2,370000,write,processing,65293
n01,2,370000,write,total,88930
n01,2,370000,read,processing,40346
n01,2,370000,read,total,42496
n01,3,100,write,processing,21
n01,3,100,write,total,22355
n01,3,100,read,processing,12
n01,3,100,read,total,2136
n01,3,100,write,processing,22
n01,3,100,write,total,22879
n01,3,100,read,processing,12
n01,3,100,read,total,2202
n01,3,100,write,processing,36
n01,3,100,write,total,22846
n01,3,100,read,processing,12
n01,3,100,read,total,2089
n01,3,100,write,processing,28
n01,3,100,write,total,22506
n01,3,100,read,processing,20
n01,3,100,read,total,2178
n01,3,100,write,processing,21
n01,3,100,write,total,23903
n01,3,100,read,processing,12
n01,3,100,read,total,2060
n01,3,100,write,processing,21
n01,3,100,write,total,22578
n01,3,100,read,processing,12
n01,3,100,read,total,2173
n01,3,100,write,processing,22
n01,3,100,write,total,22952
n01,3,100,read,processing,12
n01,3,100,read,total,2101
n01,3,100,write,processing,22
n01,3,100,write,total,25211
n01,3,100,read,processing,12
n01,3,100,read,total,2083
n01,3,100,write,processing,22
n01,3,100,write,total,23056
n01,3,100,read,processing,12
n01,3,100,read,total,2086
n01,3,100,write,processing,22
n01,3,100,write,total,22698
n01,3,100,read,processing,12
n01,3,100,read,total,2132
n01,3,370000,write,processing,62196
n01,3,370000,write,total,85892
n01,3,370000,read,processing,40148
n01,3,370000,read,total,42292
n01,3,370000,write,processing,62801
n01,3,370000,write,total,86189
n01,3,370000,read,processing,40992
n01,3,370000,read,total,43119
n01,3,370000,write,processing,63047
n01,3,370000,write,total,87183
n01,3,370000,read,processing,39786
n01,3,370000,read,total,41885
n01,3,370000,write,processing,62609
n01,3,370000,write,total,86066
n01,3,370000,read,processing,40361
n01,3,370000,read,total,42480
n01,3,370000,write,processing,62321
n01,3,370000,write,total,87154
n01,3,370000,read,processing,40295
n01,3,370000,read,total,42448
n01,3,370000,write,processing,62036
n01,3,370000,write,total,86067
n01,3,370000,read,processing,39627
n01,3,370000,read,total,41801
n01,3,370000,write,processing,62017
n01,3,370000,write,total,85430
n01,3,370000,read,processing,40600
n01,3,370000,read,total,42718
n01,3,370000,write,processing,62210
n01,3,370000,write,total,86227
n01,3,370000,read,processing,39691
n01,3,370000,read,total,41838
n01,3,370000,write,processing,62199
n01,3,370000,write,total,92020
n01,3,370000,read,processing,40884
n01,3,370000,read,total,43024
n01,3,370000,write,processing,62511
n01,3,370000,write,total,86211
n01,3,370000,read,processing,40866
n01,3,370000,read,total,42948
n01,4,100,write,processing,20
n01,4,100,write,total,22665
n01,4,100,read,processing,11
n01,4,100,read,total,2079
n01,4,100,write,processing,20
n01,4,100,write,total,21848
n01,4,100,read,processing,11
n01,4,100,read,total,2165
n01,4,100,write,processing,35
n01,4,100,write,total,24011
n01,4,100,read,processing,11
n01,4,100,read,total,2073
n01,4,100,write,processing,20
n01,4,100,write,total,22487
n01,4,100,read,processing,11
n01,4,100,read,total,2207
n01,4,100,write,processing,20
n01,4,100,write,total,85566
n01,4,100,read,processing,11
n01,4,100,read,total,2528
n01,4,100,write,processing,30
n01,4,100,write,total,25162
n01,4,100,read,processing,11
n01,4,100,read,total,2133
n01,4,100,write,processing,20
n01,4,100,write,total,21799
n01,4,100,read,processing,11
n01,4,100,read,total,2103
n01,4,100,write,processing,20
n01,4,100,write,total,23766
n01,4,100,read,processing,11
n01,4,100,read,total,2142
n01,4,100,write,processing,33
n01,4,100,write,total,26515
n01,4,100,read,processing,11
n01,4,100,read,total,2134
n01,4,100,write,processing,20
n01,4,100,write,total,28471
n01,4,100,read,processing,13
n01,4,100,read,total,2623
n01,4,370000,write,processing,57543
n01,4,370000,write,total,82044
n01,4,370000,read,processing,35093
n01,4,370000,read,total,37273
n01,4,370000,write,processing,58116
n01,4,370000,write,total,81760
n01,4,370000,read,processing,35673
n01,4,370000,read,total,37896
n01,4,370000,write,processing,58688
n01,4,370000,write,total,82285
n01,4,370000,read,processing,35656
n01,4,370000,read,total,37805
n01,4,370000,write,processing,58539
n01,4,370000,write,total,82134
n01,4,370000,read,processing,35562
n01,4,370000,read,total,37653
n01,4,370000,write,processing,59468
n01,4,370000,write,total,82248
n01,4,370000,read,processing,35753
n01,4,370000,read,total,37867
n01,4,370000,write,processing,59506
n01,4,370000,write,total,83755
n01,4,370000,read,processing,35590
n01,4,370000,read,total,37730
n01,4,370000,write,processing,59893
n01,4,370000,write,total,83439
n01,4,370000,read,processing,35507
n01,4,370000,read,total,37641
n01,4,370000,write,processing,59776
n01,4,370000,write,total,83425
n01,4,370000,read,processing,35714
n01,4,370000,read,total,37910
n01,4,370000,write,processing,59715
n01,4,370000,write,total,83318
n01,4,370000,read,processing,36533
n01,4,370000,read,total,38661
n01,4,370000,write,processing,59611
n01,4,370000,write,total,84674
n01,4,370000,read,processing,35811
n01,4,370000,read,total,37954
n01,5,100,write,processing,21
n01,5,100,write,total,21842
n01,5,100,read,processing,12
n01,5,100,read,total,2101
n01,5,100,write,processing,21
n01,5,100,write,total,22217
n01,5,100,read,processing,11
n01,5,100,read,total,2146
n01,5,100,write,processing,36
n01,5,100,write,total,28703
n01,5,100,read,processing,11
n01,5,100,read,total,2113
n01,5,100,write,processing,21
n01,5,100,write,total,21471
n01,5,100,read,processing,11
n01,5,100,read,total,2097
n01,5,100,write,processing,21
n01,5,100,write,total,22635
n01,5,100,read,processing,12
n01,5,100,read,total,2150
n01,5,100,write,processing,21
n01,5,100,write,total,28599
n01,5,100,read,processing,18
n01,5,100,read,total,2577
n01,5,100,write,processing,21
n01,5,100,write,total,28528
n01,5,100,read,processing,11
n01,5,100,read,total,2088
n01,5,100,write,processing,21
n01,5,100,write,total,22541
n01,5,100,read,processing,11
n01,5,100,read,total,2087
n01,5,100,write,processing,21
n01,5,100,write,total,22588
n01,5,100,read,processing,11
n01,5,100,read,total,2096
n01,5,100,write,processing,21
n01,5,100,write,total,22856
n01,5,100,read,processing,11
n01,5,100,read,total,2139
n01,5,370000,write,processing,59769
n01,5,370000,write,total,83201
n01,5,370000,read,processing,35649
n01,5,370000,read,total,37766
n01,5,370000,write,processing,60276
n01,5,370000,write,total,83524
n01,5,370000,read,processing,36180
n01,5,370000,read,total,38320
n01,5,370000,write,processing,60138
n01,5,370000,write,total,83646
n01,5,370000,read,processing,36877
n01,5,370000,read,total,38991
n01,5,370000,write,processing,61082
n01,5,370000,write,total,83722
n01,5,370000,read,processing,37259
n01,5,370000,read,total,39436
n01,5,370000,write,processing,61797
n01,5,370000,write,total,85412
n01,5,370000,read,processing,35796
n01,5,370000,read,total,37932
n01,5,370000,write,processing,61690
n01,5,370000,write,total,85459
n01,5,370000,read,processing,37041
n01,5,370000,read,total,39224
n01,5,370000,write,processing,62459
n01,5,370000,write,total,85194
n01,5,370000,read,processing,36499
n01,5,370000,read,total,38653
n01,5,370000,write,processing,63013
n01,5,370000,write,total,85551
n01,5,370000,read,processing,36816
n01,5,370000,read,total,39002
n01,5,370000,write,processing,63869
n01,5,370000,write,total,86437
n01,5,370000,read,processing,36873
n01,5,370000,read,total,39130
n01,5,370000,write,processing,60325
n01,5,370000,write,total,84470
n01,5,370000,read,processing,37706
n01,5,370000,read,total,39847
n01,6,100,write,processing,21
n01,6,100,write,total,21642
n01,6,100,read,processing,11
n01,6,100,read,total,2132
n01,6,100,write,processing,21
n01,6,100,write,total,21370
n01,6,100,read,processing,11
n01,6,100,read,total,2139
n01,6,100,write,processing,21
n01,6,100,write,total,22612
n01,6,100,read,processing,10
n01,6,100,read,total,2110
n01,6,100,write,processing,21
n01,6,100,write,total,22250
n01,6,100,read,processing,17
n01,6,100,read,total,2468
n01,6,100,write,processing,21
n01,6,100,write,total,22673
n01,6,100,read,processing,11
n01,6,100,read,total,2161
n01,6,100,write,processing,21
n01,6,100,write,total,21271
n01,6,100,read,processing,12
n01,6,100,read,total,2135
n01,6,100,write,processing,22
n01,6,100,write,total,22348
n01,6,100,read,processing,11
n01,6,100,read,total,2059
n01,6,100,write,processing,20
n01,6,100,write,total,22206
n01,6,100,read,processing,11
n01,6,100,read,total,2140
n01,6,100,write,processing,33
n01,6,100,write,total,22295
n01,6,100,read,processing,11
n01,6,100,read,total,2082
n01,6,100,write,processing,21
n01,6,100,write,total,22130
n01,6,100,read,processing,11
n01,6,100,read,total,2173
n01,6,370000,write,processing,59313
n01,6,370000,write,total,82733
n01,6,370000,read,processing,36462
n01,6,370000,read,total,38573
n01,6,370000,write,processing,60924
n01,6,370000,write,total,84225
n01,6,370000,read,processing,34737
n01,6,370000,read,total,36884
n01,6,370000,write,processing,60418
n01,6,370000,write,total,84200
n01,6,370000,read,processing,36556
n01,6,370000,read,total,38634
n01,6,370000,write,processing,63289
n01,6,370000,write,total,86728
n01,6,370000,read,processing,36046
n01,6,370000,read,total,38151
n01,6,370000,write,processing,60988
n01,6,370000,write,total,89788
n01,6,370000,read,processing,35811
n01,6,370000,read,total,37942
n01,6,370000,write,processing,62027
n01,6,370000,write,total,91750
n01,6,370000,read,processing,36528
n01,6,370000,read,total,38678
n01,6,370000,write,processing,61214
n01,6,370000,write,total,90788
n01,6,370000,read,processing,35574
n01,6,370000,read,total,37738
n01,6,370000,write,processing,62188
n01,6,370000,write,total,92329
n01,6,370000,read,processing,33532
n01,6,370000,read,total,35678
n01,6,370000,write,processing,62151
n01,6,370000,write,total,92622
n01,6,370000,read,processing,36046
n01,6,370000,read,total,38163
n01,6,370000,write,processing,62537
n01,6,370000,write,total,92388
n01,6,370000,read,processing,35934
n01,6,370000,read,total,38099
n01,7,100,write,processing,22
n01,7,100,write,total,28636
n01,7,100,read,processing,12
n01,7,100,read,total,2134
n01,7,100,write,processing,22
n01,7,100,write,total,29087
n01,7,100,read,processing,12
n01,7,100,read,total,2104
n01,7,100,write,processing,22
n01,7,100,write,total,28898
n01,7,100,read,processing,12
n01,7,100,read,total,2128
n01,7,100,write,processing,20
n01,7,100,write,total,28781
n01,7,100,read,processing,12
n01,7,100,read,total,2161
n01,7,100,write,processing,22
n01,7,100,write,total,21456
n01,7,100,read,processing,11
n01,7,100,read,total,2337
n01,7,100,write,processing,37
n01,7,100,write,total,28630
n01,7,100,read,processing,12
n01,7,100,read,total,2121
n01,7,100,write,processing,20
n01,7,100,write,total,22401
n01,7,100,read,processing,12
n01,7,100,read,total,2153
n01,7,100,write,processing,22
n01,7,100,write,total,23737
n01,7,100,read,processing,14
n01,7,100,read,total,2167
n01,7,100,write,processing,34
n01,7,100,write,total,28482
n01,7,100,read,processing,11
n01,7,100,read,total,2096
n01,7,100,write,processing,22
n01,7,100,write,total,26306
n01,7,100,read,processing,12
n01,7,100,read,total,2118
n01,7,370000,write,processing,63743
n01,7,370000,write,total,88890
n01,7,370000,read,processing,37967
n01,7,370000,read,total,40072
n01,7,370000,write,processing,64645
n01,7,370000,write,total,88005
n01,7,370000,read,processing,38883
n01,7,370000,read,total,40979
n01,7,370000,write,processing,66212
n01,7,370000,write,total,89812
n01,7,370000,read,processing,36151
n01,7,370000,read,total,38365
n01,7,370000,write,processing,64145
n01,7,370000,write,total,87194
n01,7,370000,read,processing,38353
n01,7,370000,read,total,40464
n01,7,370000,write,processing,64974
n01,7,370000,write,total,88407
n01,7,370000,read,processing,38511
n01,7,370000,read,total,40621
n01,7,370000,write,processing,64980
n01,7,370000,write,total,88294
n01,7,370000,read,processing,38429
n01,7,370000,read,total,40547
n01,7,370000,write,processing,65542
n01,7,370000,write,total,88414
n01,7,370000,read,processing,37881
n01,7,370000,read,total,40035
n01,7,370000,write,processing,64360
n01,7,370000,write,total,88288
n01,7,370000,read,processing,38565
n01,7,370000,read,total,40710
n01,7,370000,write,processing,65398
n01,7,370000,write,total,93296
n01,7,370000,read,processing,37643
n01,7,370000,read,total,39766
n01,7,370000,write,processing,64178
n01,7,370000,write,total,87762
n01,7,370000,read,processing,38511
n01,7,370000,read,total,40678
n01,8,100,write,processing,22
n01,8,100,write,total,28441
n01,8,100,read,processing,10
n01,8,100,read,total,2082
n01,8,100,write,processing,21
n01,8,100,write,total,22492
n01,8,100,read,processing,10
n01,8,100,read,total,2182
n01,8,100,write,processing,21
n01,8,100,write,total,21571
n01,8,100,read,processing,10
n01,8,100,read,total,2138
n01,8,100,write,processing,21
n01,8,100,write,total,22193
n01,8,100,read,processing,10
n01,8,100,read,total,2142
n01,8,100,write,processing,21
n01,8,100,write,total,22780
n01,8,100,read,processing,10
n01,8,100,read,total,2151
n01,8,100,write,processing,20
n01,8,100,write,total,23632
n01,8,100,read,processing,10
n01,8,100,read,total,2220
n01,8,100,write,processing,35
n01,8,100,write,total,22246
n01,8,100,read,processing,10
n01,8,100,read,total,2096
n01,8,100,write,processing,21
n01,8,100,write,total,22464
n01,8,100,read,processing,10
n01,8,100,read,total,2178
n01,8,100,write,processing,22
n01,8,100,write,total,23028
n01,8,100,read,processing,11
n01,8,100,read,total,2218
n01,8,100,write,processing,22
n01,8,100,write,total,29970
n01,8,100,read,processing,11
n01,8,100,read,total,2195
n01,8,370000,write,processing,65310
n01,8,370000,write,total,89366
n01,8,370000,read,processing,35246
n01,8,370000,read,total,37443
n01,8,370000,write,processing,65849
n01,8,370000,write,total,91545
n01,8,370000,read,processing,36374
n01,8,370000,read,total,38624
n01,8,370000,write,processing,70511
n01,8,370000,write,total,100441
n01,8,370000,read,processing,52429
n01,8,370000,read,total,54830
n01,8,370000,write,processing,83071
n01,8,370000,write,total,113410
n01,8,370000,read,processing,42219
n01,8,370000,read,total,44897
n01,8,370000,write,processing,77667
n01,8,370000,write,total,105001
n01,8,370000,read,processing,39545
n01,8,370000,read,total,41985
n01,8,370000,write,processing,73790
n01,8,370000,write,total,101254
n01,8,370000,read,processing,38339
n01,8,370000,read,total,40684
n01,8,370000,write,processing,72333
n01,8,370000,write,total,98840
n01,8,370000,read,processing,38448
n01,8,370000,read,total,40782
n01,8,370000,write,processing,70453
n01,8,370000,write,total,96957
n01,8,370000,read,processing,37230
n01,8,370000,read,total,39556
n01,8,370000,write,processing,70323
n01,8,370000,write,total,95923
n01,8,370000,read,processing,37172
n01,8,370000,read,total,39482
n01,8,370000,write,processing,69324
n01,8,370000,write,total,94413
n01,8,370000,read,processing,37344
n01,8,370000,read,total,39611
n01,1,16,write,processing,8
n01,1,16,write,total,32120
n01,1,16,read,processing,3
n01,1,16,read,total,2284
n01,1,16,write,processing,8
n01,1,16,write,total,27576
n01,1,16,read,processing,4
n01,1,16,read,total,2572
n01,1,16,write,processing,9
n01,1,16,write,total,29646
n01,1,16,read,processing,4
n01,1,16,read,total,2565
n01,1,16,write,processing,9
n01,1,16,write,total,29526
n01,1,16,read,processing,4
n01,1,16,read,total,2387
n01,1,16,write,processing,8
n01,1,16,write,total,25913
n01,1,16,read,processing,4
n01,1,16,read,total,2480
n01,1,16,write,processing,8
n01,1,16,write,total,26912
n01,1,16,read,processing,4
n01,1,16,read,total,2530
n01,1,16,write,processing,9
n01,1,16,write,total,27431
n01,1,16,read,processing,4
n01,1,16,read,total,2473
